id,y_2010,y_2012
1,314078.5021,314078.5021
2,98779.28214,98779.28214
3,115163.5528,115163.5528
4,85043.1919,85043.1919
5,124744.3681,124744.3681
6,173434.2867,173434.2867
7,195470.1618,195470.1618
8,173811.0603,173811.0603
9,135433.9743,135433.9743
10,125659.3898,125659.3898
11,188763.5911,188763.5911
12,65558.61249,65558.61249
13,456089.8676,456089.8676
14,111944.8294,111944.8294
15,130126.8486,130126.8486
16,131009.5754,131009.5754
17,121837.8286,121837.8286
18,100781.5649,100781.5649
19,9343.986148,9343.986148
20,279.888986,279.888986
21,144670.3109,144670.3109
22,95022.31075,95022.31075
23,53641.80066,53641.80066
24,34167.98621,34167.98621
25,155306.0923,155306.0923
26,46483.1016,46483.1016
27,42984.48927,42984.48927
28,74708.82934,74708.82934
29,173423.5217,173423.5217
30,55116.60032,55116.60032
31,209464.6111,209464.6111
32,88832.45817,88832.45817
33,145725.2771,145725.2771
34,155327.6223,155327.6223
35,158029.6275,158029.6275
36,132118.3664,132118.3664
37,81027.86145,81027.86145
38,24145.80752,24145.80752
39,165392.8608,165392.8608
40,59680.94378,59680.94378
41,105130.6091,105130.6091
42,29076.15966,29076.15966
43,79348.52753,79348.52753
44,73556.97851,73556.97851
45,196966.4914,196966.4914
46,117144.3056,117144.3056
47,28042.72341,28042.72341
48,48054.7859,48054.7859
49,74278.2309,74278.2309
50,81738.34887,81738.34887
51,26234.20996,26234.20996
52,40347.07383,40347.07383
53,47258.17879,47258.17879
54,49508.05564,49508.05564
55,50283.13283,50283.13283
56,48022.49102,48022.49102
57,164757.7281,164757.7281
58,91491.40354,91491.40354
59,79671.47636,79671.47636
60,63050.37658,63050.37658
61,64395.9967,64395.9967
62,41714.22388,41714.22388
63,44125.57514,44125.57514
64,65881.56132,65881.56132
65,30432.54475,30432.54475
66,483723.5225,483723.5225
67,36299.44849,36299.44849
68,31293.74163,31293.74163
69,34189.51614,34189.51614
70,71156.39221,71156.39221
71,45740.31929,45740.31929
72,89855.12947,89855.12947
73,47064.40949,47064.40949
74,57000.4685,57000.4685
75,40670.02266,40670.02266
76,46461.57168,46461.57168
77,47796.42684,47796.42684
78,37612.77373,37612.77373
79,60445.25602,60445.25602
80,67184.1216,67184.1216
81,66958.05742,66958.05742
82,161345.2355,161345.2355
83,59745.53355,59745.53355
84,81845.99848,81845.99848
85,58184.61421,58184.61421
86,109070.5849,109070.5849
87,347536.0009,347536.0009
88,100781.5649,100781.5649
89,205169.3917,205169.3917
90,164757.7281,164757.7281
91,87852.84672,87852.84672
92,81910.58825,81910.58825
93,132613.5546,132613.5546
94,119189.6482,119189.6482
95,331011.7858,331011.7858
96,159784.3161,159784.3161
97,120072.375,120072.375
98,39173.69308,39173.69308
99,95259.13989,95259.13989
100,22175.81966,22175.81966
101,176932.899,176932.899
102,155962.755,155962.755
103,72781.90132,72781.90132
104,129803.8997,129803.8997
105,51725.63761,51725.63761
106,233039.8757,233039.8757
107,520582.749,520582.749
108,44190.16491,44190.16491
109,223631.2998,223631.2998
110,97918.08526,97918.08526
111,36805.40166,36805.40166
112,134497.4227,134497.4227
113,49260.46154,49260.46154
114,25566.78238,25566.78238
115,74149.05137,74149.05137
116,70639.67408,70639.67408
117,16631.86475,16631.86475
118,127812.382,127812.382
119,54427.64282,54427.64282
120,214082.7794,214082.7794
121,103009.9118,103009.9118
122,76452.75302,76452.75302
123,74095.22656,74095.22656
124,48668.38868,48668.38868
125,52909.78332,52909.78332
126,46020.20828,46020.20828
127,44674.58815,44674.58815
128,48593.03395,48593.03395
129,156953.1314,156953.1314
130,157921.9779,157921.9779
131,76441.98806,76441.98806
132,125282.6161,125282.6161
133,65472.4928,65472.4928
134,94408.70797,94408.70797
135,168525.4645,168525.4645
136,479396.0082,479396.0082
137,172551.5599,172551.5599
138,139729.1938,139729.1938
139,48636.0938,48636.0938
140,191713.1904,191713.1904
141,87529.89789,87529.89789
142,53631.0357,53631.0357
143,65806.20659,65806.20659
144,122548.316,122548.316
145,92126.53624,92126.53624
146,65106.48413,65106.48413
147,91674.40788,91674.40788
148,85829.03405,85829.03405
149,119232.708,119232.708
150,49809.47455,49809.47455
151,55396.48931,55396.48931
152,101459.7574,101459.7574
153,181970.9007,181970.9007
154,424279.4079,424279.4079
155,220111.1576,220111.1576
156,162389.4367,162389.4367
157,350894.6688,350894.6688
158,154186.5364,154186.5364
159,129491.7159,129491.7159
160,100932.2743,100932.2743
161,133022.6231,133022.6231
162,143249.336,143249.336
163,88477.21446,88477.21446
164,81727.58391,81727.58391
165,74288.99586,74288.99586
166,89693.65505,89693.65505
167,78971.7539,78971.7539
168,101954.9456,101954.9456
169,68443.62204,68443.62204
170,50218.54307,50218.54307
171,48205.49536,48205.49536
172,57678.66104,57678.66104
173,90737.85627,90737.85627
174,44642.29327,44642.29327
175,33812.7425,33812.7425
176,113301.2145,113301.2145
177,441675.5849,441675.5849
178,118123.9171,118123.9171
179,61801.6411,61801.6411
180,65267.95854,65267.95854
181,167675.0325,167675.0325
182,214168.8991,214168.8991
183,130299.0879,130299.0879
184,146392.7046,146392.7046
185,61640.16669,61640.16669
186,85150.84151,85150.84151
187,148125.8634,148125.8634
188,125616.3299,125616.3299
189,63567.09471,63567.09471
190,178924.4168,178924.4168
191,114140.8815,114140.8815
192,93902.7548,93902.7548
193,75817.62032,75817.62032
194,79983.66023,79983.66023
195,74848.77383,74848.77383
196,28537.91161,28537.91161
197,26847.81273,26847.81273
198,58249.20397,58249.20397
199,34254.1059,34254.1059
200,96690.8797,96690.8797
201,33231.43461,33231.43461
202,107358.9561,107358.9561
203,133926.8798,133926.8798
204,383953.864,383953.864
205,1201897.131,1201897.131
