id,y_2010,y_2012
1,3070091.522,3070091.522
2,416205.6871,416205.6871
3,401899.054,401899.054
4,220014.2729,220014.2729
5,351454.4467,351454.4467
6,618500.8343,618500.8343
7,424150.2284,424150.2284
8,457338.6031,457338.6031
9,358527.0261,358527.0261
10,306790.6235,306790.6235
11,400252.0149,400252.0149
12,260921.1247,260921.1247
13,1816318.045,1816318.045
14,318083.0676,318083.0676
15,687762.5933,687762.5933
16,551865.7257,551865.7257
17,360314.0096,360314.0096
18,315800.8959,315800.8959
19,97369.07225,97369.07225
20,15964.43716,15964.43716
21,391241.7426,391241.7426
22,558464.6468,558464.6468
23,379281.8709,379281.8709
24,223329.8809,223329.8809
25,615422.0554,615422.0554
26,348418.7277,348418.7277
27,275421.5272,275421.5272
28,1007019.042,1007019.042
29,510485.2156,510485.2156
30,241156.6563,241156.6563
31,722210.4685,722210.4685
32,340097.4129,340097.4129
33,635240.3486,635240.3486
34,567657.9235,567657.9235
35,601212.3069,601212.3069
36,571253.4204,571253.4204
37,524016.7716,524016.7716
38,330085.9991,330085.9991
39,2579144.711,2579144.711
40,579682.3849,579682.3849
41,757304.2414,757304.2414
42,211628.3683,211628.3683
43,296337.8464,296337.8464
44,481333.7012,481333.7012
45,789739.0689,789739.0689
46,688914.4442,688914.4442
47,211402.3041,211402.3041
48,220143.4525,220143.4525
49,415678.2041,415678.2041
50,427896.4348,427896.4348
51,364802.9984,364802.9984
52,541757.4273,541757.4273
53,1567787.39,1567787.39
54,581706.1976,581706.1976
55,467242.3672,467242.3672
56,495823.3387,495823.3387
57,511120.3483,511120.3483
58,317792.4137,317792.4137
59,601029.3026,601029.3026
60,178924.4168,178924.4168
61,245624.1151,245624.1151
62,329666.1657,329666.1657
63,463022.5025,463022.5025
64,342885.5378,342885.5378
65,462807.2033,462807.2033
66,3097466.818,3097466.818
67,328266.7207,328266.7207
68,265851.4769,265851.4769
69,388970.3358,388970.3358
70,315757.8361,315757.8361
71,441977.0038,441977.0038
72,642033.039,642033.039
73,376558.3358,376558.3358
74,274980.1638,274980.1638
75,310386.1205,310386.1205
76,344209.628,344209.628
77,921577.5462,921577.5462
78,283323.0086,283323.0086
79,425172.8997,425172.8997
80,1134120.936,1134120.936
81,1702274.048,1702274.048
82,1227560.798,1227560.798
83,194059.9519,194059.9519
84,1351713.093,1351713.093
85,610157.9895,610157.9895
86,603257.6495,603257.6495
87,1435453.725,1435453.725
88,680194.8257,680194.8257
89,636080.0156,636080.0156
90,448554.3949,448554.3949
91,658955.5577,658955.5577
92,702338.3505,702338.3505
93,312571.4076,312571.4076
94,981161.6054,981161.6054
95,6216818.802,6216818.802
96,1632979.994,1632979.994
97,611966.5029,611966.5029
98,484703.134,484703.134
99,974315.0902,974315.0902
100,255183.4005,255183.4005
101,1003423.545,1003423.545
102,1315316.76,1315316.76
103,557000.6121,557000.6121
104,788490.3334,788490.3334
105,731941.9933,731941.9933
106,1112515.66,1112515.66
107,2587993.509,2587993.509
108,242437.6867,242437.6867
109,491495.8244,491495.8244
110,170226.3283,170226.3283
111,116853.6517,116853.6517
112,341475.3279,341475.3279
113,560692.9937,560692.9937
114,246377.6624,246377.6624
115,350593.2498,350593.2498
116,462279.7202,462279.7202
117,165209.8565,165209.8565
118,385202.5995,385202.5995
119,390326.7209,390326.7209
120,968232.8872,968232.8872
121,511281.8227,511281.8227
122,293754.2558,293754.2558
123,260748.8853,260748.8853
124,381886.9915,381886.9915
125,339634.5196,339634.5196
126,921534.4864,921534.4864
127,333380.0772,333380.0772
128,193392.5244,193392.5244
129,528807.1792,528807.1792
130,460815.6855,460815.6855
131,457478.5476,457478.5476
132,520894.9329,520894.9329
133,644272.1509,644272.1509
134,363242.079,363242.079
135,646791.1518,646791.1518
136,938629.2445,938629.2445
137,515630.8669,515630.8669
138,619469.6807,619469.6807
139,477469.0802,477469.0802
140,505188.8548,505188.8548
141,317361.8152,317361.8152
142,390046.8319,390046.8319
143,360012.5907,360012.5907
144,477469.0802,477469.0802
145,574891.9772,574891.9772
146,530454.2182,530454.2182
147,595388.463,595388.463
148,461138.6344,461138.6344
149,503563.3457,503563.3457
150,477081.5416,477081.5416
151,290632.4171,290632.4171
152,376504.511,376504.511
153,730208.8346,730208.8346
154,907206.3233,907206.3233
155,542844.6883,542844.6883
156,446616.702,446616.702
157,800245.6708,800245.6708
158,340237.3574,340237.3574
159,942989.0537,942989.0537
160,527289.3197,527289.3197
161,352100.3444,352100.3444
162,505296.5044,505296.5044
163,367052.8752,367052.8752
164,1025351.77,1025351.77
165,675404.4181,675404.4181
166,820537.6223,820537.6223
167,721015.5579,721015.5579
168,747314.3576,747314.3576
169,500635.2763,500635.2763
170,549346.7248,549346.7248
171,674446.3366,674446.3366
172,548431.7031,548431.7031
173,615465.1153,615465.1153
174,531240.0604,531240.0604
175,461827.5919,461827.5919
176,668870.0868,668870.0868
177,964701.98,964701.98
178,451137.9856,451137.9856
179,251878.5575,251878.5575
180,261201.0137,261201.0137
181,327922.242,327922.242
182,549379.0197,549379.0197
183,296477.7909,296477.7909
184,811882.5937,811882.5937
185,262385.1594,262385.1594
186,411243.0401,411243.0401
187,465821.3924,465821.3924
188,308190.0685,308190.0685
189,364544.6393,364544.6393
190,412965.4339,412965.4339
191,420942.27,420942.27
192,226893.083,226893.083
193,650203.6444,650203.6444
194,697407.9984,697407.9984
195,821850.9475,821850.9475
196,486360.938,486360.938
197,368656.8544,368656.8544
198,685071.3531,685071.3531
199,439113.5242,439113.5242
200,412233.4165,412233.4165
201,270835.6538,270835.6538
202,398637.2708,398637.2708
203,379777.0591,379777.0591
204,4877797.598,4877797.598
205,23740108.44,23740108.44
