id,TC_Pi_A
1,546633.9546
2,89586.00544
3,52134.70612
4,41046.79629
5,54825.94637
6,118231.5667
7,55224.24993
8,57937.0201
9,51004.38522
10,42758.42509
11,46623.04609
12,47193.58902
13,196622.0127
14,45815.67402
15,129147.2371
16,108198.623
17,61510.98715
18,53092.78765
19,34124.92637
20,3552.43713
21,53232.73215
22,120459.9136
23,85506.08522
24,65537.08257
25,92772.4339
26,97229.12775
27,79423.88226
28,220412.5765
29,53232.73215
30,58981.22132
31,70618.14416
32,74256.70098
33,94505.59262
34,71048.7426
35,118403.806
36,118920.5242
37,102643.9031
38,84515.70881
39,549712.7335
40,126154.578
41,150074.3213
42,50735.26119
43,75828.38528
44,115292.7323
45,76162.09908
46,132075.3065
47,41186.74079
48,43221.31842
49,78993.28382
50,72329.77296
51,83622.21705
52,156188.8191
53,494940.6119
54,157437.5546
55,128447.5147
56,130880.3958
57,108177.0931
58,74655.00454
59,147835.2094
60,35147.59767
61,63900.8085
62,84214.2899
63,124421.4192
64,88089.67586
65,130019.199
66,144142.8278
67,89919.71923
68,68669.68622
69,99586.65421
70,54180.04871
71,108198.623
72,173649.5859
73,90156.54838
74,61586.34188
75,75042.54313
76,89026.22747
77,175339.6848
78,69800.00712
79,98133.38448
80,272848.7015
81,349010.8006
82,260501.2912
83,24813.23511
84,321581.68
85,119684.8364
86,128619.754
87,113979.4071
88,143346.2207
89,130622.0368
90,78132.08694
91,147178.5468
92,158987.709
93,61155.74344
94,278995.4942
95,566021.6494
96,232232.5037
97,119577.1868
98,125142.6716
99,157114.6058
100,46547.69136
101,165640.4549
102,295218.2905
103,123248.0385
104,181938.6059
105,164305.5997
106,134906.4913
107,234794.5644
108,48872.92294
109,94408.70797
110,25771.31663
111,23478.37994
112,69250.99411
113,159364.4826
114,61833.93598
115,86130.45296
116,93289.15203
117,36213.3288
118,58733.62722
119,93170.73745
120,140525.8009
121,127381.7835
122,75570.02622
123,64266.81717
124,90350.31767
125,69843.06697
126,215622.1688
127,77583.07393
128,34189.51614
129,77023.29595
130,52662.18921
131,79994.42519
132,96830.82419
133,124787.4279
134,55041.24559
135,121213.4609
136,97401.36713
137,91146.92479
138,123431.0428
139,111535.7609
140,68788.10079
141,64945.00971
142,77453.8944
143,79434.64722
144,80381.96379
145,110007.1365
146,121439.525
147,123743.2267
148,75483.90653
149,81975.17802
150,93988.87449
151,52306.9455
152,49798.70959
153,129136.4722
154,99382.11995
155,83923.63596
156,58765.9221
157,90231.9031
158,34910.76852
159,183294.9909
160,94161.11387
161,50982.8553
162,80974.03664
163,63610.15455
164,219432.965
165,158406.4011
166,176997.4888
167,160494.8035
168,169149.8322
169,130374.4427
170,140708.8052
171,145994.4011
172,87777.49199
173,99026.87624
174,133969.9396
175,113710.283
176,109156.7045
177,86238.10257
178,100286.3767
179,68895.7504
180,63276.44076
181,56559.10509
182,96540.17025
183,52285.41558
184,138760.3473
185,65278.7235
186,100490.9109
187,109555.0081
188,58830.51187
189,109156.7045
190,89359.94126
191,101362.8728
192,42155.58728
193,160623.9831
194,186352.2399
195,185243.4489
196,127489.4331
197,96658.58482
198,159999.6153
199,98467.09827
200,66430.57433
201,52651.42425
202,64374.46678
203,64492.88135
204,313357.2497
205,1933128.637
